tema;indicador;ri;localidade;nivel1;nivel2;nivel3;ano;valor
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Pará;Desflorestamento Acumulado (km²);-;-;2021;2,81636338800000e+05
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Pará;Desflorestamento Acumulado (km²);-;-;2022;2,86216900000000e+05
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Pará;Desflorestamento Acumulado (km²);-;-;2023;2,91486068762896e+05
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Araguaia;Desflorestamento Acumulado (km²);-;-;2021;6,90006000000000e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Araguaia;Desflorestamento Acumulado (km²);-;-;2022;6,96404000000000e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Araguaia;Desflorestamento Acumulado (km²);-;-;2023;7,01110330984704e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Baixo Amazonas;Desflorestamento Acumulado (km²);-;-;2021;2,18432000000000e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Baixo Amazonas;Desflorestamento Acumulado (km²);-;-;2022;2,22418000000000e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Baixo Amazonas;Desflorestamento Acumulado (km²);-;-;2023;2,29764196418866e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Carajás;Desflorestamento Acumulado (km²);-;-;2021;2,82770000000000e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Carajás;Desflorestamento Acumulado (km²);-;-;2022;2,83518000000000e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Carajás;Desflorestamento Acumulado (km²);-;-;2023;2,83192938904314e+04
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Guajará;Desflorestamento Acumulado (km²);-;-;2021;6,93000000000000e+02
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Guajará;Desflorestamento Acumulado (km²);-;-;2022;6,93500000000000e+02
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Guajará;Desflorestamento Acumulado (km²);-;-;2023;7,03786054508480e+02
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Guamá;Desflorestamento Acumulado (km²);-;-;2021;7,89030000000000e+03
Meio Ambiente;Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023;Pará;Guamá;Desflorestamento Acumulado (km²);-;-;2022;7,89520000000000e+03
