EstadoRIs,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1524701514576214.0
Araguaia,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1.5327317003294656e+16
Baixo Amazonas,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1.6682519938538086e+16
Carajás,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1.5477629987908102e+16
Guajará,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1578829333931375.0
Guamá,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1.4421385860007036e+16
Lago de Tucuruí,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1.3366750208855472e+16
Marajó,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1562774363476734.0
Rio Caeté,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1.5330188679245284e+16
Rio Capim,1 Pará,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 para.xlsx",RIS,Taxa_de_Mortalidade_Infantil,1.3316920322291852e+16
