EstadoRIs,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,626870.0
Araguaia,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,36074.0
Baixo Amazonas,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,69783.0
Carajás,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,68545.0
Guajará,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,106331.0
Guamá,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,45761.0
Lago de Tucuruí,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,24441.0
Marajó,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,63749.0
Rio Caeté,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,36517.0
Rio Capim,1 Pará,3,População_por_Faixa_Etária_-_2025_Pará,20,Tabela 3 - População_por_Faixa_Etária_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 3 - População_por_Faixa_Etária_-_2025_Pará.xlsx,RIS,0_a_4_anos,48573.0
