EstadoRIs,bitos_por_Acidentes_de_Trnsito_,Populao_Total,Taxa_de_Mortes_por_Acidentes_de_Trnsito_100000_hab,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1759.0,8664306.0,2.0301683712463524e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Araguaia,215.0,476448.0,4512559607764121.0,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Baixo Amazonas,107.0,840015.0,1.2737867776170664e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Carajás,265.0,831512.0,3.186965431647409e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Guajará,261.0,2115846.0,1.233549133538074e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Guamá,161.0,701081.0,2.2964536194819144e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Lago de Tucuruí,114.0,339397.0,3358898281363713.0,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Marajó,37.0,630633.0,58671208135318.0,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Rio Caeté,95.0,521239.0,1.8225804285558064e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Rio Capim,198.0,653032.0,3.032010682478041e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
Tapajós,56.0,268410.0,2.086360418762341e+16,1 Pará,32,"Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para",20,"Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 32 - Número de Óbitos por Acidente de Trânsito, População e Taxa de Mortes por Acidentes de Trânsito - 2024 para.xlsx",RIS
