EstadoRIs,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,100.0
Araguaia,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,5402912870878165.0
Baixo Amazonas,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,5716436964169264.0
Carajás,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,3974512731335657.0
Guajará,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,1799465130768268.0
Guamá,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,3991740557431525.0
Lago de Tucuruí,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,3.681218977073596e+16
Marajó,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,2263333637856525.0
Rio Caeté,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,2379702104146212.0
Rio Capim,1 Pará,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 para.xlsx,RIS,_Participao_PIB_Estadual,4960787542596014.0
