EstadoRIs,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Araguaia,2831852284191451.0,2.011484513755465e+16,3.1131310657867024e+16,2043532140276405.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Baixo Amazonas,1937501540335932.0,1.973281025956501e+16,3475424411132668.0,2.613793024029384e+16,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Carajás,1.9028309205413304e+16,8081226890541868.0,1.2873941175113094e+16,4410958999918817.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Guajará,3.61490032288964e+16,1.3707390155630774e+16,6361020481602989.0,2232091499087417.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Guamá,1848211944396685.0,1057559973493665.0,374732014752134.0,3.3469079345883076e+16,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Lago de Tucuruí,1.3987135536712106e+16,4810548645766875.0,1643046327113685.0,2147691470202206.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Marajó,3.0518103089022464e+16,315825659268621.0,1503735726104799.0,5128628303986087.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Rio Caeté,1.7082411035515612e+16,9856235607308656.0,3.2329086662258284e+16,4073226673005795.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Rio Capim,2.992714804333785e+16,1.8466379665602956e+16,2.5026601372151164e+16,2.6579870927175944e+16,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Tapajós,1.3758987061451144e+16,2.4100072710322056e+16,3887514207055814.0,2326579817736708.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Tocantins,2.1382227625411256e+16,3272323921462748.0,2199662404295559.0,2.3897909117005656e+16,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Xingu,2.2748562362215104e+16,3.9559842766700136e+16,2043888264201985.0,1725271222906493.0,100.0,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Fonte: FAPESPA/IBGE,,,,,,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
Elaboração: FAPESPA,,,,,,1 Pará,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 para.xlsx,RIS
