Par,326240796288622,321345718915439,33301152930946,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,2.312037908760917e+16,2187424427556647.0,2.5378998824985964e+16,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Abel Figueiredo,243005824099721.0,205646098557684.0,293795516339875.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Aurora do Pará,330697691864669.0,258607948251754.0,407172716617242.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Bujaru,300056613651419.0,257858727532098.0,336666413366325.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Capitão Poço,547294557726811.0,106997223731422.0,242483870871324.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Concórdia do Pará,248258610563556.0,203712143415397.0,329799675965658.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Dom Eliseu,258523045649554.0,248456505785123.0,275155517068711.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Garrafão do Norte,122167143837856.0,141991968406594.0,104160316281971.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,207124867971674.0,21315111368821.0,199827894567213.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
Irituia,161797972299171.0,172317637880281.0,154689524535809.0,10 Rio Capim,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri rio capim.xlsx,Rio Capim
