EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,1026.0
RI Rio Capim,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,101.0
Abel Figueiredo,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,1.0
Aurora do Pará,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,2.0
Bujaru,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,4.0
Capitão Poço,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,5.0
Concórdia do Pará,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,6.0
Dom Eliseu,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,14.0
Garrafão do Norte,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,3.0
Ipixuna do Pará,10 Rio Capim,31,"Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim",20,"Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 31 - Óbitos de Jovens de 15 a 29 anos por Agressão, População Jovem e Taxa de Homicídio de Jovens - 2024 ri rio capim.xlsx",Rio Capim,bitos_de_Jovens_por_Agresso_,7.0
