Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Araguaia,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,2693.0
Baixo Amazonas,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,3992.0
Carajás,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,3668.0
Guajará,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,13900.0
Guamá,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,4052.0
Lago de Tucuruí,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,1819.0
Marajó,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,2116.0
Rio Caeté,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,2899.0
Rio Capim,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,3069.0
Tapajós,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,1414.0
Tocantins,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,3654.0
Xingu,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,1966.0
Fonte: DATASUS,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,
Elaboração: FAPESPA,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,
*Nota: Dados Preliminares extraídos em Outubro/2025.,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,45314,
Araguaia,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,5.652243266841293e+16
Baixo Amazonas,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,4752296089950775.0
Carajás,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,4411241208785922.0
Guajará,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,6569476228421161.0
Guamá,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,5.7796460038141096e+16
Lago de Tucuruí,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,5.35950524017596e+16
Marajó,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,3.3553588220089976e+16
Rio Caeté,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,5561748065666614.0
Rio Capim,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,4699616557840963.0
Tapajós,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,5268060057374912.0
Tocantins,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,4216030608336064.0
Xingu,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,46809412358542.0
Fonte: DATASUS,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,
Elaboração: FAPESPA,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,
*Nota: Dados Preliminares extraídos em Outubro/2025.,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,52299630230049585,
Araguaia,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,5921790175221786,6442629038247308.0
Baixo Amazonas,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,5921790175221786,6.037074148296593e+16
Carajás,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,5921790175221786,6368593238822247.0
Guajará,1 Pará,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 para.xlsx,RIS,5921790175221786,5.341007194244605e+16
