Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Araguaia,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2.5639470475459108e+16
Baixo Amazonas,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2970601254060234.0
Carajás,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2.7593640956218824e+16
Guajará,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2.8357181528941812e+16
Guamá,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2195822637360477.0
Lago de Tucuruí,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2955108149425119.0
Marajó,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2.5569306836189652e+16
Rio Caeté,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2150179231337796.0
Rio Capim,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,2.312037908760917e+16
Tapajós,1 Pará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - para.xlsx,RIS,326240796288622,278826396993074.0
