EstadoRIs,Desflorestamento_Acumulado_km,Incremento_do_Desflorestamento_km,Focos_de_Calor,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2914860687628959.0,2.260838831105545e+16,56070.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Araguaia,7011103309847045.0,1655189200664475.0,13641.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Baixo Amazonas,2.2976419641886584e+16,3885043292193063.0,5329.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Carajás,2831929389043142.0,3394891635464632.0,1369.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Guajará,7037860545084804.0,2203376246434211.0,15.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Guamá,7925954912541341.0,8970086924988575.0,626.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Lago de Tucuruí,2458776711428831.0,1460375717699384.0,1325.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Marajó,6546408966112887.0,1.5371304420357194e+16,3721.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Rio Caeté,1.1687294630899992e+16,2.1840317550143444e+16,901.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Rio Capim,3946962527113019.0,2.210202693538836e+16,3146.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Tapajós,2308384741875891.0,3838830811961475.0,11867.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Tocantins,1.4727521779875932e+16,1.5272474456797424e+16,3309.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
Xingu,4134711598399121.0,5844572122738527.0,10821.0,1 Pará,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2023 para.xlsx",RIS
