Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,3.5227367882000004e+16,7220293799798833.0,7680706449999999.0,7220293806641801.0,3877761655.0,7.0578583327895784e+16,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Baixo Amazonas,36263312365.0,7432623700590615.0,7906575869999999.0,7432623699074518.0,3275675601.0,5962010147329016.0,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Carajás,156841456193.0,3214663660069753.0,3419651413.0,3214663661329979.0,8448319544.0,1.537666514774216e+16,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Guajará,61475524077.0,1.2600184800050028e+16,1.3403654089999998e+16,1260018479320949.0,23653326375.0,4305107985136989.0,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Guamá,2.5911040583999996e+16,5310794899626474.0,5649445529999999.0,5310794890646967.0,3.3867252879999996e+16,6164130088799896.0,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Lago de Tucuruí,21715881593.0,4450944099721412.0,47347651.0,4450944109110399.0,1816134528.0,3305520388387994.0,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Marajó,2.0009738340000004e+16,4101248499628081.0,436277063.0,410124849382673.0,1.9896748000000004e+16,3621378546722836.0,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Rio Caeté,1.6047705755999996e+16,3289179900103978.0,3.4989193000000004e+16,3.2891799102320164e+16,1716684534.0,3.1245128816621132e+16,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Rio Capim,29493629361.0,6045091700353939.0,643056583.0,6045091677153135.0,2.95354844e+16,5375711124914835.0,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
Tapajós,21950809791.0,4499095599915783.0,478598707.0,4.499095626833745e+16,1542647131.0,2807749902329231.0,1 Pará,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 para",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para","..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 para.xlsx",RIS
