Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Araguaia,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,95324.0
Baixo Amazonas,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,102329.0
Carajás,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,211359.0
Guajará,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,471654.0
Guamá,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,115916.0
Lago de Tucuruí,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,51260.0
Marajó,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,8566.0
Rio Caeté,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,60668.0
Rio Capim,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,85369.0
Tapajós,1 Pará,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 Pará.xlsx,RIS,1382057,44664.0
