Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,86010.0,2199,10265.0,351,3894.0,15045.0,12313.0,28316.0,13627.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Abel Figueiredo,722.0,-,126.0,7,17.0,162.0,45.0,257.0,108.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Aurora do Pará,1389.0,-,16.0,-,16.0,120.0,41.0,954.0,242.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Bujaru,1509.0,-,84.0,-,18.0,128.0,44.0,1160.0,75.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Capitão Poço,10593.0,75,175.0,9,172.0,1236.0,508.0,7489.0,929.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Concórdia do Pará,3957.0,-,235.0,2,75.0,471.0,161.0,1462.0,1551.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Dom Eliseu,5827.0,-,454.0,16,111.0,1564.0,877.0,1553.0,1252.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Garrafão do Norte,3059.0,-,209.0,-,5.0,106.0,58.0,2034.0,647.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,4802.0,238,133.0,31,64.0,330.0,260.0,3105.0,641.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
Irituia,2527.0,4,187.0,42,12.0,140.0,58.0,1924.0,160.0,10 Rio Capim,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri rio capim.xlsx,Rio Capim
