EstadoMunicpio,rea_de_Floresta_km,Hidrografia_km,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8144011.0,43927.9,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
RI Rio Capim,2.3023800000000004e+16,146,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Abel Figueiredo,379.0,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Aurora do Pará,236.0,17.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Bujaru,2685.0,59.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Capitão Poço,3054.0,1.8,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Concórdia do Pará,796.0,0.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Dom Eliseu,16645.0,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Garrafão do Norte,1634.0,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,23544.0,25.9,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim
