EstadoMunicpio,Hidrografia_km,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,43927.9,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,8144011.0
RI Rio Capim,146,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,2.3023800000000004e+16
Abel Figueiredo,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,379.0
Aurora do Pará,17.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,236.0
Bujaru,59.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,2685.0
Capitão Poço,1.8,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,3054.0
Concórdia do Pará,0.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,796.0
Dom Eliseu,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,16645.0
Garrafão do Norte,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,1634.0
Ipixuna do Pará,25.9,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,23544.0
Irituia,3.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,1441.0
Mãe do Rio,1.4,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,195.0
Nova Esperança do Piriá,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,12257.0
Ourém,0.3,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,33.0
Paragominas,36,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,104646.0
Rondon do Pará,-,10 Rio Capim,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri rio capim.xlsx,Rio Capim,rea_de_Floresta_km,25355.0
