Par,36906,425275,1080902,163405,137455,7716788,137,97,1871,16868,169935,254341,204611,3130177,2229561,15091,261114,426150,4729,74442,90615,1089,16329,43398,1646,16122,63855,18515,41560,1248357,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,773.0,9511.0,29822.0,4626,3416,172520,0,0,0,1773,20296,18182,73750,983133,737749,13228,235622,381379,136,1769,3453,122,2129,5720,393,4131,13441,7182.0,16249.0,486131.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Abel Figueiredo,3.0,36.0,108.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,27.0,810.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Aurora do Pará,5.0,65.0,222.0,10,8,359,-,-,-,-,-,-,3800,50665,38582,5,63,95,6,78,211,-,-,-,23,256,1362,495.0,1185.0,38734.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Bujaru,5.0,65.0,228.0,-,-,-,-,-,-,430,5020,7530,400,6722,4974,6,72,144,6,66,132,-,-,-,-,-,-,340.0,680.0,20400.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Capitão Poço,135.0,1837.0,6430.0,-,-,-,-,-,-,800,9301,5236,200,2183,1465,10500,185630,308146,-,-,-,-,-,-,20,224,502,900.0,2311.0,69330.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Concórdia do Pará,60.0,660.0,1980.0,350,235,11750,-,-,-,100,1000,814,22000,220000,165000,15,180,360,-,-,-,50,1015,2030,70,840,1680,730.0,1533.0,45990.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Dom Eliseu,13.0,166.0,481.0,41,28,1456,-,-,-,-,-,-,-,-,-,-,-,-,20,244,586,4,60,210,20,210,840,45.0,92.0,2760.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Garrafão do Norte,15.0,127.0,412.0,-,-,-,-,-,-,12,153,98,2301,27828,17988,1500,29669,44800,-,-,-,-,-,-,-,-,-,700.0,1741.0,52839.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
Ipixuna do Pará,30.0,362.0,1086.0,18,15,675,-,-,-,10,62,124,-,-,-,6,93,93,9,131,388,14,213,746,60,579,2316,180.0,374.0,10472.0,10 Rio Capim,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri rio capim.xlsx",Rio Capim
