EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,25557665.0
Araguaia,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,8338696.0
Baixo Amazonas,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,1559981.0
Carajás,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,3939656.0
Guajará,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,4720.0
Guamá,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,298758.0
Lago de Tucuruí,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,2893608.0
Marajó,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,332811.0
o Caeté,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,412016.0
o Capim,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,1775706.0
Tapajós,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,1680778.0
Tocantins,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,433756.0
Xingu,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,3887179.0
Fonte: IBGE/PPM,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,
Elaboração: FAPESPA,1 Pará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 para,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 para.xlsx,RIS,Bovino,
