EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
RI Rio Capim,2150625.0,3490625000000001.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,166.0,388.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Aurora do Pará,205.0,408.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Bujaru,192.0,44.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Capitão Poço,178.0,36.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,293.0,459.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Dom Eliseu,172.0,189.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,32.0,391.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,253.0,455.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Irituia,225.0,346.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Mãe do Rio,205.0,361.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Nova Esperança do Piriá,244.0,345.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Ourém,263.0,335.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Paragominas,183.0,257.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Rondon do Pará,312.0,325.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Tomé-Açu,143.0,285.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Ulianópolis,87.0,241.0,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Fonte: MEC - INEP,,,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
Elaboração: FAPESPA,,,10 Rio Capim,10,Distorção idade-série total por nível de Ensino - 2024 ri rio capim,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio capim.xlsx,Rio Capim
