EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,11070.0
RI Rio Capim,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,379.0
Abel Figueiredo,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,5.0
Aurora do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,9.0
Bujaru,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,12.0
Capitão Poço,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,22.0
Concórdia do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,14.0
Dom Eliseu,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,35.0
Garrafão do Norte,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,11.0
Ipixuna do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,20.0
Irituia,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,18.0
Mãe do Rio,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,21.0
Nova Esperança do Piriá,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,10.0
Ourém,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,7.0
Paragominas,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,117.0
Rondon do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,12.0
Tomé-Açu,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,24.0
Ulianópolis,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,42.0
Fonte: DATASUS,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,
Elaboração: FAPESPA,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,
*Nota: Dados referentes a Outubro/2025.,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Mdicos,
Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,1788.0
RI Rio Capim,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,96.0
Abel Figueiredo,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,1.0
Aurora do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,5.0
Bujaru,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,7.0
Capitão Poço,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,6.0
Concórdia do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,5.0
Dom Eliseu,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,4.0
Garrafão do Norte,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,1.0
Ipixuna do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,9.0
Irituia,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,9.0
Mãe do Rio,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,5.0
Nova Esperança do Piriá,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,3.0
Ourém,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,2.0
Paragominas,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,18.0
Rondon do Pará,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,5.0
Tomé-Açu,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,8.0
Ulianópolis,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,8.0
Fonte: DATASUS,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,
Elaboração: FAPESPA,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,
*Nota: Dados referentes a Outubro/2025.,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim,Assistente_Social,
