EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
RI Rio Capim,1.6965107503999996e+16,6.0,,6664835995651744.0,100.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Abel Figueiredo,131077033.0,136.0,16.0,5.14943349186354e+16,7726271877092139.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Aurora do Pará,390415051.0,98.0,12.0,1.533767047768783e+16,2301282505330124.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Bujaru,688319814.0,64.0,7.0,2704102329906175.0,4057267623194898.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Capitão Poço,900134035.0,54.0,6.0,3.536226172433482e+16,5.305796233756658e+16,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Concórdia do Pará,520831786.0,81.0,9.0,2.04611637986611e+16,3.0700175986341344e+16,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Dom Eliseu,1332437358.0,36.0,4.0,523455360566132.0,7853987118477384.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Garrafão do Norte,426846806.0,95.0,11.0,1.676891205426797e+16,2516027710990685.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
Ipixuna do Pará,612706967.0,69.0,8.0,2407053092640518.0,3611571378817006.0,10 Rio Capim,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim","..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri rio capim.xlsx",Rio Capim
