Par,1382057,1419636,2801693,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,85369.0,94923.0,180292.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,829.0,1147.0,1976.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Aurora do Pará,1996.0,1924.0,3920.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Bujaru,1659.0,1957.0,3616.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Capitão Poço,5812.0,6623.0,12435.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,3476.0,4603.0,8079.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Dom Eliseu,7071.0,9951.0,17022.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,1562.0,1535.0,3097.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,2649.0,2492.0,5141.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
Irituia,1916.0,2526.0,4442.0,10 Rio Capim,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri rio capim.xlsx,Rio Capim
