EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,8711196.0
RI Tapajós,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,271130.0
Aveiro,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,19380.0
Itaituba,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,135369.0
Jacareacanga,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,26579.0
Novo Progresso,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,37054.0
Rurópolis,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,37198.0
Trairão,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,15550.0
Fonte: IBGE - Censo Demográfico,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,
Elaboração: FAPESPA,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,
Nota¹: Último ano de registro do dado.,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,Populao_Estimada_Total__2025,
Pará,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,rea_Territorial_km__2024,1.2458288319999992e+16
RI Tapajós,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,rea_Territorial_km__2024,1.89595497e+16
Aveiro,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,rea_Territorial_km__2024,17074053.0
Itaituba,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,rea_Territorial_km__2024,62042472.0
Jacareacanga,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,rea_Territorial_km__2024,53304563.0
Novo Progresso,11 Tapajós,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tapajós.xlsx",Tapajós,rea_Territorial_km__2024,38162003.0
