EstadoMunicpio,rea_de_Floresta_km,Hidrografia_km,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8144011.0,439279.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
RI Tapajós,155714.0,24633.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Aveiro,148197.0,719.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Itaituba,53933.0,8103.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Jacareacanga,454298.0,7095.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Novo Progresso,271108.0,747.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Rurópolis,44246.0,478.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Trairão,99961.0,102.0,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Fonte: INPE/PRODES,,,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,11 Tapajós,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tapajos.xlsx,Tapajós
