EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,-,100.0,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
RI Tapajós,7367915524.0,12.0,,2894526226002304.0,100.0,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Aveiro,228317168.0,126.0,6,8969565794692920.0,3098802738118907.0,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Itaituba,3806020448.0,13.0,1,1495216112013208.0,5.1656678684797576e+16,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Jacareacanga,732418403.0,62.0,3,2877346067533747.0,9940646043161664.0,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Novo Progresso,1541047549.0,32.0,2,6054090239725542.0,2.0915651706106612e+16,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Rurópolis,605553853.0,70.0,4,2.378951690007519e+16,8218794732750249.0,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Trairão,454558103.0,94.0,5,1785756563154858.0,6169426095064985.0,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Fonte: FAPESPA/IBGE,,,,,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
Elaboração: FAPESPA,,,,,,11 Tapajós,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tapajos.xlsx",Tapajós
