Par,col,191,12640,73,407,28312,2079,136328,130742,8585,133,29064,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tapajós,-,-,314,-,-,311,-,-,2190,325,-,565,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,4796.0
Aveiro,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,293.0
Itaituba,-,-,301,-,-,163,-,-,1398,325,-,374,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,2173.0
Jacareacanga,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,386.0
Novo Progresso,-,-,13,-,-,148,-,-,792,-,-,191,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,1136.0
Rurópolis,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,457.0
Trairão,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,351.0
Fonte: MEC - INEP,,,,,,,,,,,,,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,
Elaboração: FAPESPA,,,,,,,,,,,,,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,101220,
RI Tapajós,-,-,314,-,-,311,-,-,2190,325,-,565,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,5110.0
Aveiro,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,293.0
Itaituba,-,-,301,-,-,163,-,-,1398,325,-,374,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,2474.0
Jacareacanga,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,386.0
Novo Progresso,-,-,13,-,-,148,-,-,792,-,-,191,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,1149.0
Rurópolis,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,457.0
Trairão,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,351.0
Fonte: MEC - INEP,,,,,,,,,,,,,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,
Elaboração: FAPESPA,,,,,,,,,,,,,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,114051,
RI Tapajós,-,-,314,-,-,311,-,-,2190,325,-,565,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,221043,8667.0
Aveiro,-,-,-,-,-,-,-,-,-,-,-,-,11 Tapajós,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajós.xlsx",Tapajós,221043,566.0
