EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
RI Tocantins,2.6059999999999996e+16,3.727e+16,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Abaetetuba,189.0,241.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Acará,31.0,489.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Baião,303.0,46.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Barcarena,226.0,322.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Cametá,306.0,365.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Igarapé-Miri,302.0,329.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,32.0,408.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Mocajuba,276.0,401.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Moju,13.0,372.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Tailândia,244.0,34.0,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Fonte: MEC - INEP,,,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,12 Tocantins,10,Distorção idade-série total por nível de Ensino - 2024 ri tocantins,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tocantins.xlsx,Tocantins
