Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,3654.0,182.0,515.0,57.0,910.0,501.0,160.0,2325.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Abaetetuba,793.0,35.0,104.0,19.0,210.0,122.0,37.0,527.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Acará,283.0,6.0,45.0,4.0,78.0,32.0,15.0,180.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Baião,164.0,4.0,14.0,0.0,54.0,28.0,11.0,111.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Barcarena,623.0,32.0,92.0,12.0,112.0,82.0,25.0,355.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Cametá,602.0,48.0,100.0,9.0,159.0,93.0,22.0,431.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Igarapé-Miri,304.0,15.0,42.0,3.0,75.0,38.0,18.0,191.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,105.0,6.0,19.0,0.0,33.0,12.0,4.0,74.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Mocajuba,146.0,5.0,17.0,1.0,40.0,19.0,4.0,86.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
Moju,297.0,19.0,34.0,4.0,75.0,35.0,9.0,176.0,12 Tocantins,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri tocantins.xlsx,Tocantins
