Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tocantins,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,77834.0
Abaetetuba,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,17121.0
Acará,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,5889.0
Baião,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,3457.0
Barcarena,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,8817.0
Cametá,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,19117.0
Igarapé-Miri,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,5972.0
Limoeiro do Ajuru,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,1158.0
Mocajuba,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,3857.0
Moju,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,6200.0
Tailândia,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,6246.0
Fonte: Ministério da Previdência Social,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,
Elaboração: FAPESPA,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,820361,
RI Tocantins,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,13421.0
Abaetetuba,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,3794.0
Acará,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,546.0
Baião,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,113.0
Barcarena,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,4277.0
Cametá,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,1495.0
Igarapé-Miri,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,774.0
Limoeiro do Ajuru,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,64.0
Mocajuba,12 Tocantins,29,Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri tocantins.xlsx,Tocantins,301905,231.0
