EstadoMunicpios,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
RI Tocantins,3.4132965330000004e+16,5223689548.0,3.511374114e+16,3.814880833e+16,15963241028.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Abaetetuba,272103456.0,73614293.0,754091481.0,66945989.0,1769269119.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Acará,904959242.0,58472312.0,130251458.0,312426984.0,1406109995.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Baião,265130803.0,15612524.0,63199394.0,207562512.0,551505234.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Barcarena,18164583.0,4694444587.0,14682351.0,621746319.0,6966071837.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Cametá,428677845.0,40086285.0,271023022.0,595045958.0,133483311.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Igarapé-Miri,188507341.0,38014911.0,12613176.0,297345675.0,649999686.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,331383478.0,552193.0,24231168.0,136829017.0,497965593.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
Mocajuba,184797635.0,15067314.0,61165516.0,17707375.0,438104215.0,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins
