EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
RI Tocantins,22727645503.0,3.0,,892868081201915.0,100.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Abaetetuba,2441092172.0,17.0,2.0,958996515218858.0,1.0740629387579022e+16,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Acará,211146704.0,22.0,4.0,829501465198864.0,9290302595230514.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Baião,799362814.0,59.0,8.0,3140340876163935.0,3517138693026895.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Barcarena,9190032788.0,6.0,1.0,3610355036785988.0,4043548103910252.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Cametá,1901552871.0,26.0,6.0,7470355268475355.0,8366695400757633.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Igarapé-Miri,1021946299.0,48.0,7.0,4.014772365923629e+16,4496489963578081.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,60199105.0,72.0,9.0,2.364955022038149e+16,2648717175391259.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Mocajuba,480359837.0,90.0,10.0,1.887120097381143e+16,2.1135486160966104e+16,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Moju,2156272999.0,21.0,3.0,8471037331651875.0,9487445581265232.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
Tailândia,2023567633.0,23.0,5.0,7949696986520316.0,890355154797224.0,12 Tocantins,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri tocantins.xlsx",Tocantins
