Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tocantins,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,3.1375974980999996e+16
Abaetetuba,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,2399517471.0
Acará,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,19429152.0
Baião,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,1041794814.0
Barcarena,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,1.3389754339e+16
Cametá,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,1853569155.0
Igarapé-Miri,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,1485199557.0
Limoeiro do Ajuru,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,946038332.0
Mocajuba,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,941220868.0
Moju,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,3520221793.0
Tailândia,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,3.855743452e+16
Fonte: DITES-SEFA,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,
Elaboração: FAPESPA,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,
*Nota 1: Deduzidos 20% de contribuição ao FUNDEB,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,
**Nota 2: Deduzidos 50% de contribuição ao FUNDEB,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,48789382896,
RI Tocantins,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,6430902200153132.0
Abaetetuba,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,4918114000570244.0
Acará,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,3.982249999229422e+16
Baião,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,2135289999918018.0
Barcarena,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,2744399200035333.0
Cametá,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,3.799123999889666e+16
Igarapé-Miri,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,3044104001409217.0
Limoeiro do Ajuru,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,1.939025000616601e+16
Mocajuba,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,1.929150999934385e+16
Moju,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,7215138999613389.0
Tailândia,12 Tocantins,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tocantins.xlsx",Tocantins,100,790283299999704.0
