EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,5873641911584.0,5671654857142.0,1941808253785.0,2901290031488.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
RI Tocantins,419734271217.0,4.11865461106e+16,3.2452152120099996e+16,70694793675.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Abaetetuba,63128211121.0,62610212821.0,54546949014.0,3151553152.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Acará,34337688471.0,34312488471.0,30384311644.0,327433853.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Baião,19912162469.0,19518710169.0,17361843855.0,856729414.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Barcarena,110616783158.0,110526126926.0,52539819477.0,5273466432.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Cametá,56106914633.0,54461314358.0,49913523209.0,3552996218.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Igarapé-Miri,29380264942.0,28936479093.0,26942443185.0,1557275386.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,13826689748.0,13457751305.0,12868826665.0,452895507.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
Mocajuba,17164955452.0,1597994868.0,14351278873.0,1294710682.0,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins
