EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,5873641911584.0
RI Tocantins,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,419734271217.0
Abaetetuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,63128211121.0
Acará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,34337688471.0
Baião,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,19912162469.0
Barcarena,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,110616783158.0
Cametá,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,56106914633.0
Igarapé-Miri,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,29380264942.0
Limoeiro do Ajuru,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,13826689748.0
Mocajuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Oramentria,17164955452.0
