EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
RI Tocantins,183609.0,32682.0,3830.0,1044.0,8608.0,2631.0,567.0,417.0,97418.0,29681.0,2292.0,1709.0,1548.0,233.0,906.0,43.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Abaetetuba,48793.0,7764.0,540.0,75.0,1409.0,610.0,281.0,49.0,24958.0,12126.0,340.0,265.0,81.0,96.0,193.0,6.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Acará,6596.0,958.0,113.0,28.0,399.0,73.0,18.0,15.0,4294.0,472.0,118.0,68.0,23.0,1.0,15.0,1.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Baião,3835.0,421.0,83.0,1.0,288.0,34.0,0.0,4.0,2300.0,641.0,36.0,6.0,0.0,5.0,16.0,0.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Barcarena,42577.0,12861.0,1307.0,465.0,2303.0,954.0,109.0,212.0,16090.0,5831.0,924.0,477.0,662.0,45.0,311.0,26.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Cametá,20599.0,1844.0,233.0,19.0,672.0,256.0,11.0,21.0,15011.0,2239.0,114.0,25.0,26.0,18.0,108.0,2.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Igarapé-Miri,8766.0,1381.0,160.0,8.0,420.0,148.0,9.0,40.0,4947.0,1438.0,82.0,82.0,14.0,7.0,28.0,2.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,651.0,25.0,3.0,0.0,13.0,9.0,0.0,0.0,545.0,44.0,8.0,1.0,0.0,1.0,2.0,0.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
Mocajuba,3634.0,482.0,29.0,1.0,204.0,40.0,2.0,4.0,2301.0,519.0,23.0,12.0,1.0,3.0,13.0,0.0,12 Tocantins,51,Total da Frota de Veículos por Tipo - 2024 ri tocantins,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri tocantins.xlsx,Tocantins
