Par,973,986,914,991,929,26,08,7,07,58,01,06,16,02,13,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,-,99.60000000000001,8879.0,98.08571428571429,8942.0,-,0.39999999999999997,923.0,1.1999999999999997,867.0,-,0,198.0,0.7142857142857143,1.91e+16,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Abaetetuba,-,99.5,915.0,99.3,946.0,-,0.5,81.0,0.7,51.0,-,0,4.0,0,3.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Acará,-,-,873.0,-,873.0,-,-,105.0,-,105.0,-,-,22.0,-,22.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Baião,-,-,867.0,100,872.0,-,-,106.0,0,102.0,-,-,27.0,0,26.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Barcarena,-,100,942.0,98.2,948.0,-,0,5.0,1.7,45.0,-,0,8.0,0.1,7.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Cametá,-,-,864.0,99.5,872.0,-,-,111.0,0.4,105.0,-,-,25.0,0.1,23.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Igarapé-Miri,-,-,848.0,96.2,848.0,-,-,139.0,0,138.0,-,-,13.0,3.8,14.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,-,99.3,837.0,-,842.0,-,0.7,133.0,-,129.0,-,0,3.0,-,29.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Mocajuba,-,-,866.0,98.4,869.0,-,-,101.0,0.8,99.0,-,-,33.0,0.8,32.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Moju,-,-,981.0,-,981.0,-,-,0.0,-,0.0,-,-,19.0,-,19.0,12 Tocantins,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
