Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,1966.0,46809412358542.0,662767039674466.0,3351983723296033.0,2.034587995930823e+16,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Altamira,755.0,5511673066534289.0,6278145695364239.0,3721854304635762.0,0.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Anapu,156.0,4463902480899648.0,717948717948718.0,2.8205128205128204e+16,0.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Brasil Novo,125.0,4698188378561227.0,648.0,3.52e+16,0.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Medicilândia,146.0,5099011629937484.0,7123287671232876.0,2.876712328767123e+16,0.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Pacajá,196.0,4496031563976693.0,7040816326530613.0,2.8061224489795916e+16,1530612244897959.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Placas,99.0,5273812060515662.0,6363636363636363.0,3636363636363637.0,0.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Porto de Moz,126.0,2.885077736816797e+16,6904761904761905.0,3.015873015873016e+16,7936507936507936.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Senador José Porfírio,69.0,2.8231250767153556e+16,7536231884057972.0,2.4637681159420292e+16,0.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
Uruará,199.0,4331831341561636.0,6130653266331658.0,3869346733668342.0,0.0,13 Xingu,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri xingu.xlsx,Xingu
