Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Altamira,HOSPITAL CIRURGICO DE ALTAMIRA ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
,HOSPITAL DO OLHO DE ALTAMIRA ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
,HOSPITAL GERAL DE ALTAMIRA SAO RAFAEL HGA ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
,HOSPITAL GERAL PUBLICO CASTELO DOS SONHOS ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
,HOSPITAL REGIONAL PUBLICO DA TRANSAMAZONICA ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
,HOSPITAL SANTO AGOSTINHO ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
,LABOCLIN ,Hospital/Dia,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
Anapu,HOSPITAL MUNICIPAL OSCAR DE DEA ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
Brasil Novo,HOSPITAL MUNICIPAL MARIA JOSE BIANCARDI ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
Medicilândia,HOSPITAL MUNICIPAL DE MEDICILANDIA ,Hospital Geral,13 Xingu,19,Caracterização Hospitalar por  Tipo - 2025 ri xingu,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri xingu.xlsx,Xingu
