Par,11569,3762,15331,2384,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,576.0,64.0,640.0,68.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Altamira,194.0,56.0,250.0,49.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Anapu,41.0,0.0,41.0,1.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Brasil Novo,33.0,0.0,33.0,8.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Medicilândia,52.0,0.0,52.0,2.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Pacajá,32.0,5.0,37.0,1.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Placas,29.0,0.0,29.0,2.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Porto de Moz,56.0,0.0,56.0,1.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Senador José Porfírio,19.0,0.0,19.0,1.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Uruará,78.0,3.0,81.0,1.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Vitória do Xingu,42.0,0.0,42.0,2.0,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Fonte: DATASUS,,,,,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
Elaboração: FAPESPA,,,,,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
*Nota: Dados referentes a Outubro/2025.,,,,,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu
