Par,27792,9307,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Xingu,392,619,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,35353.0
Altamira,310,405,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,17251.0
Anapu,24,20,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,3385.0
Brasil Novo,18,1,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,1215.0
Medicilândia,12,-,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,2277.0
Pacajá,6,1,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,2741.0
Placas,-,-,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,833.0
Porto de Moz,-,-,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,1961.0
Senador José Porfírio,22,1,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,781.0
Uruará,-,4,13 Xingu,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri xingu.xlsx,Xingu,1445663,3003.0
