EstadoMunicpio,Desflorestamento_Acumulado_km,Incremento_do_Desflorestamento_km,Focos_de_Calor,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2914860687628959.0,2.260838831105545e+16,56070.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
RI Xingu,4134711598399121.0,5844572122738527.0,10821.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Altamira,1.242541061728256e+16,166630379326708.0,5996.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Anapu,3.373841714127753e+16,56849791234207.0,596.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Brasil Novo,2.867265769501985e+16,90776707364498.0,70.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Medicilândia,2889300370523188.0,53510060138142.0,534.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Pacajá,7252512062347958.0,84471195104041.0,1077.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Placas,2858996608529809.0,525457095717727.0,574.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Porto de Moz,1383240358409393.0,162265605562845.0,664.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Senador José Porfírio,1.952460605130691e+16,464920330996973.0,401.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Uruará,4297969689335654.0,976242895111806.0,881.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Vitória do Xingu,2.046118188802221e+16,102952299536978.0,28.0,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
Fonte: PRODES - INPE-TERRABRASILIS/Queimadas,,,,13 Xingu,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri xingu.xlsx",Xingu
