EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,1.2458722699999996e+16
RI Xingu,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,25079314.0
Altamira,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,15953332.0
Anapu,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,1189527.0
Brasil Novo,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,636257.0
Medicilândia,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,827262.0
Pacajá,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,1183232.0
Placas,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,717319.0
Porto de Moz,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,1742301.0
Senador José Porfírio,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu,rea_Territorial_IBGEkm,1441991.0
