EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,626870.0
RI Xingu,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,35371.0
Altamira,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,10805.0
Anapu,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,3446.0
Brasil Novo,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,2009.0
Medicilândia,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,2282.0
Pacajá,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,3757.0
Placas,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,1415.0
Porto de Moz,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,4310.0
Senador José Porfírio,13 Xingu,3,População_por_Faixa_Etária_-_2025_ri_xingu,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_xingu.xlsx,Xingu,0_a_4_anos,2364.0
