EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,2.5454651119799996e+16
RI Xingu,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,1376082464.0
Altamira,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,3887893813.0
Anapu,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,715999089.0
Brasil Novo,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,51748203.0
Medicilândia,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,1140468562.0
Pacajá,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,1114327561.0
Placas,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,491401617.0
Porto de Moz,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,507177479.0
Senador José Porfírio,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,341243519.0
Uruará,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,1057793926.0
Vitória do Xingu,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,3987037044.0
Fonte: FAPESPA/IBGE,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,
Elaboração: FAPESPA,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,PIB_R_1000,
Pará,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,Ranking_Estadual,
RI Xingu,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,Ranking_Estadual,8.0
Altamira,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,Ranking_Estadual,12.0
Anapu,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu,Ranking_Estadual,63.0
