EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
RI Araguaia,2.4253333333333336e+16,2.053333333333333e+16,2.2673333333333336e+16,2.515333333333333e+16,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Água Azul do Norte,162.0,186.0,209.0,234.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Bannach,20.0,172.0,178.0,136.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,186.0,196.0,241.0,266.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Cumaru do Norte,205.0,206.0,214.0,197.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,179.0,171.0,201.0,20.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,21.0,202.0,254.0,288.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Pau D'Arco,259.0,192.0,242.0,283.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
Redenção,237.0,242.0,288.0,322.0,2 Araguaia,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri araguaia.xlsx,Araguaia
