Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Água Azul do Norte,HOSPITAL MUNICIPAL DE AGUA AZUL DO NORTE ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Bannach,HOSPITAL MUNICIPAL JOSE VIEIRA DOS SANTOS ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,HOSPITAL REGIONAL DE CONCEICAO DO ARAGUAIA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL SAO LUCAS ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Cumaru do Norte,HOSPITAL MUNICIPAL JOAO VIEIRA DA CUNHA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,HOSPITAL MUNICIPAL CECILIA ARRAES SOUZA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,HOSPITAL MUNICIPAL JADSON PESCONI ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL REGIONAL DA PA 279 ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL SANTA LUCIA LTDA ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Pau D'Arco,HOSPITAL MUNICIPAL ENFERMEIRA ANTONIA PINHEIRO CAVALCANTE ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
Redenção,HOSPITAL MUNICIPAL DR IRACI MACHADO DE ARAUJO ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
,HOSPITAL MUNICIPAL DR PEDRO PAULO BARCAUI ,Hospital Geral,2 Araguaia,19,Caracterização Hospitalar por  Tipo - 2025 ri araguaia,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri araguaia.xlsx,Araguaia
