EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
RI Araguaia,476299.0,1.7417448200000002e+16,2734608391141935.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Água Azul do Norte,17596.0,7113956.0,2473447966223013.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Bannach,4290.0,2956649.0,1.4509669561723424e+16,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Conceição do Araguaia,47144.0,5829482.0,8087167950771612.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Cumaru do Norte,15150.0,17085001.0,8867427049023877.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Floresta do Araguaia,18595.0,3444285.0,5398798299211593.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Ourilândia do Norte,35252.0,14410567.0,2.4462604420769844e+16,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Pau D'Arco,7354.0,1671418.0,4399856887983736.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Redenção,92694.0,3823809.0,2.4241273557335104e+16,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Rio Maria,19190.0,4114627.0,4663849238339222.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Santa Maria das Barreiras,17065.0,10330214.0,1651950288735548.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Santana do Araguaia,30455.0,11591441.0,2627369625571143.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
São Félix do Xingu,64651.0,84212901.0,7677089760866925.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Sapucaia,6212.0,129819.0,4785123903280722.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Tucumã,42883.0,2512594.0,1706722216163853.0,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Xinguara,57768.0,3779348.0,1.5285176173244696e+16,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Fonte: IBGE - Censo Demográfico,,,,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Elaboração: FAPESPA,,,,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
Nota¹: Último ano de registro do dado.,,,,2 Araguaia,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_araguaia.xlsx",Araguaia
