Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Araguaia,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,1039.0
Água Azul do Norte,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,40.0
Bannach,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,10.0
Conceição do Araguaia,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,117.0
Cumaru do Norte,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,11.0
Floresta do Araguaia,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,19.0
Ourilândia do Norte,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,162.0
Pau D'Arco,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,22.0
Redenção,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,183.0
Rio Maria,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,61.0
Santa Maria das Barreiras,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,46.0
Santana do Araguaia,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,66.0
São Félix do Xingu,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,98.0
Sapucaia,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,14.0
Tucumã,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,97.0
Xinguara,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,93.0
Fonte: DATASUS,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,
Elaboração: FAPESPA,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,
*Nota: Dados referentes a Outubro/2025.,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,11569,
RI Araguaia,2 Araguaia,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri araguaia.xlsx,Araguaia,3762,271.0
