Par,1445663,839050,606613,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,79533.0,48405.0,31128.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Água Azul do Norte,3422.0,2446.0,976.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Bannach,612.0,450.0,162.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Conceição do Araguaia,4248.0,2518.0,1730.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Cumaru do Norte,2204.0,1695.0,509.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Floresta do Araguaia,2641.0,1337.0,1304.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Ourilândia do Norte,5850.0,3406.0,2444.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Pau D'Arco,706.0,476.0,230.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Redenção,19276.0,10772.0,8504.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Rio Maria,4454.0,2697.0,1757.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Santa Maria das Barreiras,4356.0,2830.0,1526.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Santana do Araguaia,6163.0,3992.0,2171.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
São Félix do Xingu,7344.0,4566.0,2778.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Sapucaia,989.0,761.0,228.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Tucumã,5651.0,3295.0,2356.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Xinguara,11617.0,7164.0,4453.0,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Fonte: MTE-RAIS,,,,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
Elaboração: FAPESPA,,,,2 Araguaia,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri araguaia.xlsx,Araguaia
