EstadoMunicpio,Desflorestamento_Acumulado_km,Incremento_do_Desflorestamento_km,Focos_de_Calor,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2914860687628959.0,2.260838831105545e+16,56070.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
RI Araguaia,7011103309847045.0,1655189200664475.0,13641.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Água Azul do Norte,4701063216759009.0,370054792153254.0,255.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Bannach,2.213993557909276e+16,448817303336376.0,189.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,3133739209794931.0,833223668077283.0,440.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Cumaru do Norte,7589233395899047.0,161019289570252.0,1347.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,1.9237479320704736e+16,890437148852281.0,75.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,1.7839835108431394e+16,375541528564344.0,1625.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Pau D'Arco,9515423226556152.0,231258397248786.0,115.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
Redenção,265651774836431.0,722301610225486.0,115.0,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia
