EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,1.0119479036388216e+16
RI Araguaia,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,2831852284191451.0
Água Azul do Norte,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,4349272236811698.0
Bannach,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,7205123790669846.0
Conceição do Araguaia,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,2.3614603821382332e+16
Cumaru do Norte,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,6814492682006619.0
Floresta do Araguaia,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,4.5618506687237656e+16
Ourilândia do Norte,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,8913352852019447.0
Pau D'Arco,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,5076129837188746.0
Redenção,2 Araguaia,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri araguaia.xlsx,Araguaia,_Participao_VA_Agropecuria,9388318373408786.0
