EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,2.5454651119799996e+16
RI Araguaia,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,1.833403558e+16
Água Azul do Norte,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,1047225878.0
Bannach,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,153994721.0
Conceição do Araguaia,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,98529616.0
Cumaru do Norte,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,4790322.0
Floresta do Araguaia,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,657024636.0
Ourilândia do Norte,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,1053014288.0
Pau D'Arco,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,153520962.0
Redenção,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia,PIB_R_1000,3681706091.0
