EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29,745689,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
RI Araguaia,117195.0,559.0,0,16546,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Água Azul do Norte,14233.0,49.0,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Bannach,4281.0,8.0,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,8193.0,63.0,-,5750,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Cumaru do Norte,15590.0,10.0,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,3026.0,25.0,-,2000,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,9537.0,20.0,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Pau D'Arco,1201.0,9.0,-,2696,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Redenção,3071.0,18.0,-,3600,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Rio Maria,12405.0,34.0,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Santa Maria das Barreiras,7930.0,14.0,-,2100,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
Santana do Araguaia,3717.0,27.0,-,-,2 Araguaia,46,Producao de Origem Animal por Tipo - 2024 ri araguaia,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri araguaia.xlsx,Araguaia
