EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,5873641911584.0,5671654857142.0,1941808253785.0,2901290031488.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
RI Araguaia,3.11656174269e+16,2.99230242061e+16,2.4734386470200004e+16,33657398671.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Água Azul do Norte,1394078084.0,1394078084.0,12492690477.0,1302988931.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Bannach,4585640255.0,4256303993.0,4036250512.0,169613612.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,22360394823.0,20754494127.0,16724791052.0,2784967297.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Cumaru do Norte,12061275409.0,11524391435.0,10055050734.0,1217083282.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,11985262282.0,11985262282.0,11065144623.0,623689302.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,25793385973.0,25768521149.0,19395284383.0,5284106686.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Pau D'Arco,6151572741.0,6044784241.0,5704571081.0,321211704.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Redenção,48606740267.0,47535436514.0,35473032394.0,5893556749.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Rio Maria,11323491705.0,10897686635.0,9573546608.0,892645351.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Santa Maria das Barreiras,13440063399.0,12881776229.0,11141542994.0,1335370652.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Santana do Araguaia,36058586265.0,35510644755.0,30573307176.0,2245403598.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
São Félix do Xingu,45020117404.0,41269655549.0,35686095397.0,4573862693.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
Sapucaia,6512213971.0,6014949571.0,5792159713.0,154041154.0,2 Araguaia,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri araguaia.xlsx",Araguaia
