EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,1.9215384615384616e+16,3.1146153846153844e+16,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,281.0,323.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,351.0,429.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,22.0,38.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,211.0,276.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,152.0,316.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,132.0,303.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,135.0,215.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,21.0,282.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,219.0,387.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Oriximiná,173.0,313.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Prainha,213.0,423.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Santarém,141.0,214.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Terra Santa,6.0,188.0,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Fonte: MEC - INEP,,,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
Elaboração: FAPESPA,,,3 Baixo Amazonas,10,Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri baixo amazonas.xlsx,Baixo Amazonas
