Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Baixo Amazonas,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1626994756046023.0
Alenquer,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1.4418194451868086e+16
Almeirim,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1.7118951945835856e+16
Belterra,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1.5563997045478526e+16
Curuá,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1.4156667116084672e+16
Faro,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,9863013698630136.0
Juruti,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1.872034400948992e+16
Mojuí dos Campos,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1.1615044247787612e+16
Monte Alegre,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1480177872754985.0
Óbidos,3 Baixo Amazonas,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,13678533514398037,1711566644352373.0
