Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,104739.0,2638,6242.0,368.0,6325.0,19316.0,24714.0,42933.0,2203.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,3020.0,-,76.0,10.0,156.0,467.0,308.0,1973.0,30.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,3404.0,115,748.0,17.0,24.0,240.0,479.0,1683.0,98.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,2129.0,-,38.0,,1.0,154.0,95.0,1229.0,612.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,970.0,-,,,1.0,33.0,21.0,915.0,,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Faro,867.0,-,,2.0,,19.0,60.0,780.0,6.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,5457.0,698,149.0,102.0,1003.0,643.0,1047.0,1775.0,40.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,1017.0,-,136.0,1.0,6.0,90.0,164.0,472.0,148.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,4345.0,32,48.0,17.0,74.0,632.0,394.0,3095.0,53.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,3608.0,-,329.0,10.0,260.0,683.0,456.0,1807.0,63.0,3 Baixo Amazonas,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
