EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,4373481.0
RI Baixo Amazonas,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,429228.0
Alenquer,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,39341.0
Almeirim,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,18865.0
Belterra,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,9673.0
Curuá,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,7820.0
Faro,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,4737.0
Juruti,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,28036.0
Mojuí dos Campos,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,13517.0
Monte Alegre,3 Baixo Amazonas,2,População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas,Masculino,32520.0
