EstadoMunicpios,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,2.6641754260000004e+16,2713374265.0,4778907329.0,3594114893999999.0,13750571912.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,302185384.0,24520523.0,135246493.0,258088078.0,720040478.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,88297443.0,217294275.0,118064406.0,197238572.0,620894696.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,86223274.0,10156354.0,4082252.0,90300631.0,227502779.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,45804708.0,3542298.0,20904699.0,75569433.0,145821138.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,6823237.0,2837961.0,17181417.0,46329791.0,73172406.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,290459469.0,467179956.0,30324771.0,322027136.0,138291427.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,123924354.0,16983962.0,47683927.0,88075954.0,276668197.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,295333682.0,3379072.0,167509124.0,272284681.0,768918206.0,3 Baixo Amazonas,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri baixo amazonas.xlsx,Baixo Amazonas
