EstadoMunicpios,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1999423.0,6029379.0,682394.0,7.833528254903229e+16,4447915780381363.0,3.4129546374128932e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
RI Baixo Amazonas,847407.0,217115.0,568132.0,62160.0,7.335318211909978e+16,4.915671006033809e+16,286299887156576.0,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Alenquer,75882.0,21805.0,49206.0,4871.0,6419177143459582.0,5421290086574808.0,2.2338913093327216e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Almeirim,36442.0,10366.0,23805.0,2271.0,6.2318204269798584e+16,5308548624238605.0,2.1908161296546404e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Belterra,19075.0,4805.0,12503.0,1767.0,926343381389253.0,5256338478765097.0,3.6774193548387096e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Curuá,14954.0,4004.0,9967.0,983.0,6573492042262939.0,5.003511588241197e+16,2.4550449550449556e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Faro,9167.0,2391.0,6120.0,656.0,7.156103414421295e+16,4.97875816993464e+16,2.7436219155165204e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Juruti,54255.0,15877.0,35212.0,3166.0,5835406874942402.0,540809951153016.0,1.9940794860490016e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,25818.0,6241.0,17431.0,2146.0,8312030366411031.0,4811542653892491.0,343855151418042.0,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
Monte Alegre,64002.0,15225.0,43131.0,5646.0,8821599325021094.0,483897892467135.0,3.708374384236453e+16,3 Baixo Amazonas,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_baixo_amazonas.xlsx,Baixo Amazonas
