Par,1445663,839050,606613,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Araguaia,79533.0,48405.0,31128.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Baixo Amazonas,104739.0,54605.0,50134.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Carajás,201798.0,126033.0,75765.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Guajará,579112.0,336552.0,242560.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Guamá,90117.0,54584.0,35533.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Lago de Tucuruí,34414.0,17881.0,16533.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Marajó,44051.0,21811.0,22240.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Rio Caeté,59071.0,31160.0,27911.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Rio Capim,86010.0,50466.0,35544.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Tapajós,32822.0,17785.0,15037.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Tocantins,98643.0,61030.0,37613.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Xingu,35353.0,18738.0,16615.0,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Fonte: MTE-RAIS,,,,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
Elaboração: FAPESPA,,,,1 Pará,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri para.xlsx,RIS
