EstadoRIs,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Araguaia,244612.0,231687.0,1.0557864705399956e+16,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Baixo Amazonas,429228.0,418179.0,1.0264216997984116e+16,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Carajás,427834.0,415999.0,1028449587619201.0,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Guajará,1007376.0,1110095.0,9074682797418238.0,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Guamá,356209.0,348682.0,1.0215870047779924e+16,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Lago de Tucuruí,172054.0,165957.0,1036738432244497.0,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Marajó,331036.0,304865.0,1.0858445541469176e+16,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Rio Caeté,266433.0,257012.0,1.0366558759902264e+16,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
Rio Capim,332267.0,322746.0,1.0294999783111176e+16,1 Pará,2,População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,20,Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 2 - População_Por_Sexo_e_Razão_de_Sexo_-_2025_Pará.xlsx,RIS
