EstadoRIs,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1999423.0,6029379.0,682394.0,7.833528254903229e+16,4447915780381363.0,3.4129546374128932e+16,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Araguaia,476299.0,114027.0,327277.0,34995.0,7.34727555590081e+16,4.5533905529566696e+16,3.0690099713225816e+16,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Baixo Amazonas,847407.0,217115.0,568132.0,62160.0,7.335318211909978e+16,4.915671006033809e+16,286299887156576.0,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Carajás,843833.0,208584.0,589303.0,45946.0,5444916233425334.0,4319170274035598.0,2.20275764200514e+16,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Guajará,2117471.0,370717.0,1520691.0,226063.0,1.0676084820051844e+16,3924400157559951.0,609799388752067.0,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Guamá,704891.0,149372.0,493641.0,61878.0,8778378501073215.0,4279425736517023.0,4142543448571352.0,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Lago de Tucuruí,338011.0,80923.0,230496.0,26592.0,7867199588179083.0,4664506108565875.0,3.2860867738467436e+16,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Marajó,635901.0,189524.0,411442.0,34935.0,5493779692121887.0,5455422635511202.0,184330216753551.0,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Rio Caeté,523445.0,119517.0,359425.0,44503.0,8501943852744796.0,4563399874800027.0,3.723570705422659e+16,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Rio Capim,655013.0,155319.0,454794.0,44900.0,6854825782083715.0,440241076179545.0,2.8908246898318944e+16,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Tapajós,271130.0,73189.0,181040.0,16901.0,6233541105742633.0,4976248342907645.0,2309226796376505.0,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Tocantins,873726.0,211767.0,604593.0,57366.0,6565673906922766.0,4451473966784266.0,2708920653359589.0,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Xingu,424069.0,109369.0,288545.0,26155.0,6167628381230413.0,4696806390684296.0,2391445473580265.0,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
Elaboração: FAPESPA,,,,,,,,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
"Nota1: Indicador calculado com base na referência internacional de comparação, onde a população considerada ativa ",,,,,,,,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
é composta por pessoas de 15 a 64 anos de idade e a população idosa formada pelas pessoas com 65 anos e mais de idade.,,,,,,,,1 Pará,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,20,Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará,..\..\Desktop\tabelas-powerBI\1 Pará\Tabela 4 - Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_Pará.xlsx,RIS
