Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Rio Capim,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,3069.0
Abel Figueiredo,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,37.0
Aurora do Pará,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,98.0
Bujaru,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,125.0
Capitão Poço,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,276.0
Concórdia do Pará,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,147.0
Dom Eliseu,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,237.0
Garrafão do Norte,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,144.0
Ipixuna do Pará,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,163.0
Irituia,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,164.0
Mãe do Rio,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,224.0
Nova Esperança do Piriá,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,76.0
Ourém,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,93.0
Paragominas,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,483.0
Rondon do Pará,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,246.0
Tomé-Açu,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,409.0
Ulianópolis,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,147.0
Fonte: DATASUS,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,
Elaboração: FAPESPA,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,
*Nota: Dados Preliminares extraídos em Outubro/2025.,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,45314,
RI Rio Capim,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,131.0
Abel Figueiredo,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,2.0
Aurora do Pará,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,3.0
Bujaru,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,6.0
Capitão Poço,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,10.0
Concórdia do Pará,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,2.0
Dom Eliseu,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,4.0
Garrafão do Norte,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,14.0
Ipixuna do Pará,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,7.0
Irituia,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,7.0
Mãe do Rio,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,13.0
Nova Esperança do Piriá,10 Rio Capim,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri rio capim.xlsx,Rio Capim,2472,4.0
